"Sample","est","se"
"Long-term_2017_40011_3",-0.467064844800261,0.257909269598864
"Long-term_2017_40012_1",1.72999746528037,0.412631293511386
"Long-term_2017_40012_2",0.631414821234501,0.387561020805042
"Long-term_2017_40012_3",-0.595148125016867,0.352806897770181
"Long-term_2017_40013_1",0.309922747109667,0.32152220039337
"Long-term_2017_40013_2",-0.0547293245156467,0.31470738506955
"Long-term_2017_40013_3",0.308749867538647,0.39093978690723
"Long-term_2017_40015_1",-0.116260610818863,0.234530272026912
"Long-term_2017_40015_2",0.183450111736371,0.290184358327897
"Long-term_2017_40015_3",0.0395548002922442,0.259949599429359
"Long-term_2017_40016_1",-0.490179007521956,0.230527173090771
"Long-term_2017_40016_2",-0.50501004769249,0.217820937769399
"Long-term_2017_40016_3",-0.473451430450576,0.245613655984907
"Long-term_2017_40017_1",-1.58431935677465,0.303381752268046
"Long-term_2017_40017_2",-2.3074828814848,0.234530367052925
"Long-term_2017_40017_3",-2.52181811860502,0.22838217339819
"Long-term_2017_40018_1",-0.287784701717228,0.190276971249007
"Long-term_2017_40018_2",-0.400969312214467,0.188664438715254
"Long-term_2017_40018_3",0.0282616205653176,0.203215683844212
"Long-term_2017_40019_1",3.34656360372658,0.317785346590463
"Long-term_2017_40019_2",2.06925674089909,0.347639531564342
"Long-term_2017_40019_3",3.26091390562672,0.332587578983324
"Long-term_2017_40020_1",2.25280854515549,0.370369570708004
"Long-term_2017_40020_2",2.3878156731278,0.358764248173827
"Long-term_2017_40020_3",1.95127591333779,0.33706981443476
"Long-term_2017_40021_1",-0.0548122339043766,0.226376177742637
"Long-term_2017_40021_2",0.0231999451678712,0.226687636294294
"Long-term_2017_40021_3",-0.170438013081384,0.211413041467515
"Long-term_2017_40022_1",-0.494218390710456,0.206580647158169
"Long-term_2017_40022_2",-0.443324227772086,0.194324689114585
"Long-term_2017_40022_3",-0.225294670443982,0.255242537623515
"Long-term_2017_40025_3",0.787605511882859,0.278803815062584
"Long-term_2017_40026_1",-0.943865202339784,0.232534513229822
"Long-term_2017_40026_2",-1.04839052577098,0.202451151575715
"Long-term_2017_40026_3",-0.778680078308953,0.251055693149769
"Long-term_2017_40027_1",-0.454109185840934,0.353522702674981
"Long-term_2017_40027_2",-1.84337128068904,0.368278514824419
"Long-term_2017_40027_3",-0.773432588661568,0.414002302532696
"Long-term_2017_40028_1",-0.544397152545034,0.226803876484405
"Long-term_2017_40028_2",-0.444283413185549,0.224088844998216
"Long-term_2017_40028_3",-0.269059679581505,0.248186367882404
"Long-term_2017_40029_1",0.199362790522864,0.264774364762202
"Long-term_2017_40029_2",0.41025737671258,0.327064710208618
"Long-term_2017_40029_3",0.0327700670122431,0.296417542105117
"Long-term_2017_40030_1",-0.516388618183003,0.20964138954181
"Long-term_2017_40030_2",-0.570562586107678,0.19868543621287
"Long-term_2017_40030_3",-0.554496561679472,0.188450760658314
"Long-term_2017_40032_1",-0.218333327124492,0.312006259866608
"Long-term_2017_40032_2",-0.274585834339887,0.31448644287597
"Long-term_2017_40032_3",-0.172995607852936,0.278290937966084
"Long-term_2017_40033_1",-0.754201276532839,0.335932119298883
"Long-term_2017_40033_2",-0.888332103084248,0.322667578612755
