"names","est","se"
"Long-term_2017_40016_2",-0.667233519837319,0.198689452000613
"Long-term_2017_40016_3",-0.68853110698521,0.252707487774001
"Long-term_2017_40017_1",-2.25442083910793,0.273381544567039
"Long-term_2017_40017_2",-3.11545806520541,0.234617911545307
"Long-term_2017_40017_3",-3.15345400524363,0.250056017977508
"Long-term_2017_40018_1",-0.352694305719633,0.20173364993747
"Long-term_2017_40018_2",-0.470074169544289,0.19345270635526
"Long-term_2017_40018_3",-0.0224919073702768,0.216263768823202
"Long-term_2017_40019_1",3.13451091251219,0.334972907296072
"Long-term_2017_40019_2",2.2169724849036,0.368678085353116
"Long-term_2017_40019_3",3.01950683826931,0.351694665905097
"Long-term_2017_40020_1",2.28313944455439,0.373815445209256
"Long-term_2017_40020_2",1.98232603821835,0.343237052273371
"Long-term_2017_40020_3",2.22705712251458,0.352143468486931
"Long-term_2017_40021_1",0.0299557852023281,0.256535923851866
"Long-term_2017_40021_2",0.104726946385035,0.243167808394517
"Long-term_2017_40021_3",-0.107544034083257,0.244630483816632
"Long-term_2017_40022_1",-0.6499665426098,0.201086452852406
"Long-term_2017_40022_2",-0.560399843020059,0.214215621396893
"Long-term_2017_40022_3",-0.495355209587951,0.214274990085018
"Long-term_2017_40025_3",0.933908716844161,0.314169761703742
"Long-term_2017_40026_1",-0.785301439154866,0.263717245117074
"Long-term_2017_40026_2",-1.00054740153715,0.213182642746486
"Long-term_2017_40026_3",-0.812892415420043,0.258533208784806
"Long-term_2017_40027_1",-0.247644441345037,0.379304105097667
"Long-term_2017_40027_2",-1.99797006375691,0.391119991419427
"Long-term_2017_40027_3",-0.633713049553334,0.428882919005511
"Long-term_2017_40028_1",-0.614495185988142,0.221561985514606
"Long-term_2017_40028_2",-0.547491162588085,0.218724238755594
"Long-term_2017_40028_3",-0.417989467959924,0.237160939211184
"Long-term_2017_40029_1",0.434564469072178,0.240794221768098
"Long-term_2017_40029_2",0.583888774042592,0.30270266018058
"Long-term_2017_40029_3",0.28514596019304,0.260514923227623
"Long-term_2017_40030_1",-0.664108810116566,0.204551017795187
"Long-term_2017_40030_2",-0.750170158358787,0.19564949632081
"Long-term_2017_40030_3",-0.675505257342545,0.177653496827358
"Long-term_2017_40032_1",-0.475996560402273,0.288344029733674
"Long-term_2017_40032_2",-0.46936503994235,0.323665217451296
"Long-term_2017_40032_3",-0.252010612044629,0.278108487611893
"Long-term_2017_40033_1",-0.727861409308771,0.402262306490316
"Long-term_2017_40033_2",-0.708393659341521,0.348492460238968
"Long-term_2017_40033_3",-0.708690145761366,0.340528280346483
"Long-term_2017_40034_1",-1.68904096867321,0.328865077921059
"Long-term_2017_40034_2",-1.80037038195521,0.34867675006185
"Long-term_2017_40034_3",-1.3418670525364,0.352113025016687
"Long-term_2017_40036_1",0.727703718227798,0.346307728473455
"Long-term_2017_40036_2",0.531939520650712,0.299224119485786
"Long-term_2017_40036_3",1.61292913233048,0.315987448351912
"Long-term_2017_40037_1",-0.510953598885335,0.193583266390747
"Long-term_2017_40037_2",-0.101419545666722,0.215100452337666
"Long-term_2017_40037_3",-0.322018122587792,0.182543259795144
